cmag_issue,wmp_var,Related WMP var,renaming syntax,
AARP FRAUD,issue_aarpfraud,,,
AARP MENTION,issue_aarp,,,
ANTI-CLINTON,issue_anticlinton,HCLINTON=2,,rename issue_anticlinton HCLINTON=2
ANTI-KAINE,issue_antikaine,,,
ANTI-OBAMA MESSAGE,issue_antiobamamessage,BOBAMA=2,,rename issue_antiobamamessage BOBAMA=2
ANTI-PENCE,issue_antipence,,,
ANTI-CRUZ,issue_anticruz,,,
ANTI-SANDERS,issue_antisanders,,,
ANTI-TRUMP,issue_antitrump,PRESMENT=2,,rename issue_antitrump PRESMENT=2
BP OIL SPILL,issue_bp,,,
BUDGET/GOVERNMENT SPENDING,issue_budget,ISSUE12,Government spending ,rename issue_budget ISSUE12
CALL TO ACTION,issue_calltoaction,,,
CAMPAIGN FINANCE REFORM,issue_campaignfinance,ISSUE90,Campaign finance reform,rename issue_campaignfinance ISSUE90
CAREGIVING,issue_caregiving,,,
CHARITIES,issue_charities,,,
CORRUPTION,issue_corruption,ISSUE91,Government ethics/scandal,rename issue_corruption ISSUE91
DEFENSE/AEROSPACE,issue_defense,,,
DOMESTIC ABUSE,issue_domabuse,ISSUE200,Domestic violence/sexual assualt/harrassment,rename issue_domabuse ISSUE200
ECONOMY,issue_economy,ISSUE22,Economy,rename issue_economy ISSUE22
EDUCATION,issue_ed,ISSUE50,Education/schools,rename issue_ed ISSUE50
EDUCATION:  COMMON CORE,issue_ed_comcore,,,
ENERGY/ENVIRONMENT,issue_energyenv,ISSUE80,Environment (generic),rename issue_energyenv ISSUE80
ENERGY/ENVIRONMENT:  ANTI-EPA,issue_enenv_antiepa,,,
ENERGY/ENVIRONMENT:  COAL,issue_enenv_coal,,,
ENERGY/ENVIRONMENT:  COAL-ANTI,issue_enenv_coalanti,,,
ENERGY/ENVIRONMENT:  COAL-PRO,issue_enenv_coalpro,,,
ENERGY/ENVIRONMENT:  FRACKING,issue_enenv_frack,,,
ENERGY/ENVIRONMENT:  GLOBAL WARMING,issue_enenv_gwarm,ISSUE82,Climate change/global warming ,rename issue_enenv_gwarm ISSUE82
ENERGY/ENVIRONMENT:  GREEN ENERGY,issue_enenv_green,,,
ENERGY/ENVIRONMENT:  KEYSTONE,issue_enenv_keystone,,,
ENERGY/ENVIRONMENT:  OIL,issue_enenv_oil,,,
ENERGY/ENVIRONMENT:  OIL-ANTI,issue_enenv_oilanti,,,
ENERGY/ENVIRONMENT:  OIL-PRO,issue_enenv_oilpro,,,
ENERGY/ENVIRONMENT:  PRO-EPA,issue_enenv_proepa,,,
FAITH/RELIGION,issue_faith,ISSUE32,Moral/family/religious values ,rename issue_faith ISSUE32
FINANCIAL REFORM,issue_financialreform,,,
FINANCIAL SERVICES,issue_financialservices,,,
FOOD/AGRICULTURE,issue_foodag,,,
GAMING,issue_gaming,,,
GOVERNMENT SHUTDOWN,issue_govtshutdown,ISSUE99,Government shutdown,rename issue_govtshutdown ISSUE99
GUN CONTROL,issue_guncontrol,ISSUE37,Gun control/guns,rename issue_guncontrol ISSUE37
GUNS:  ANTI-GUN CONTROL,issue_gu_antiguncontrol,,,
GUNS:  MISC. GUN MESSAGE,issue_gunsmisc,,,
GUNS:  PRO-GUN CONTROL,issue_gu_proguncontrol,,,
HEALTHCARE,issue_healthcare,ISSUE53,Healthcare (not prescription drugs),rename issue_healthcare ISSUE53
HEALTHCARE:  ANTI-ACA,issue_antiaca,,,
HEALTHCARE:  ANTI-AHCA,issue_antiahca,,,
HEALTHCARE:  ANTI-INSURANCE,issue_hc_antiinsurance,,,
HEALTHCARE:  MEDICARE,issue_healthcaremedicare,ISSUE55,Medicare (incl. Medicare for all),rename issue_healthcaremedicare ISSUE55
HEALTHCARE:  PRO-ACA,issue_proaca,,,
HEALTHCARE:  PRO-AHCA,issue_proahca,,,
HOUSING/HOME OWNERSHIP,issue_housing,ISSUE21,Housing/sub-prime mortages,rename issue_housing ISSUE21
HUMAN RIGHTS,issue_humanrights,,,
IMMIGRATION,issue_immigration,ISSUE95,Immigration,rename issue_immigration ISSUE95
IMMIGRATION:  ANTI,issue_immigration_anti,,,
IMMIGRATION:  PRO,issue_immigration_pro,,,
INTERNATIONAL AFFAIRS,issue_internationalaffairs,,,
INTERNATIONAL AFFAIRS:  RUSSIA,issue_russia,ISSUE75,Russia/Putin,rename issue_russia ISSUE75
IRAQ/AFGHAN WAR,issue_iraq,ISSUE67 & ISSUE70,,rename issue_iraq ISSUE67 & ISSUE70
JOBS/UNEMPLOYMENT,issue_jobs,ISSUE18,Employment/jobs,rename issue_jobs ISSUE18
JOBS/UNEMPLOYMENT:  OUTSOURCING,issue_jobsoutsourcing,,,
LIBYA/BENGHAZI,issue_libya,,,
MANUFACTURING/CONSTRUCTION,issue_manufacturing,,,
MINIMUM WAGE,issue_minimumwage,ISSUE14,Minimum wage/wages,rename issue_minimumwage ISSUE14
N/A,issue_na,,,
NATIONAL DEFENSE,issue_nationaldefense,,,
PRESCRIPTION DRUGS,issue_rxdrugs,ISSUE54,Prescription drugs,rename issue_rxdrugs ISSUE54
PRESCRIPTION DRUGS:  ANTI-INDUSTRY,issue_rxdrugs_antiindustry,,,
PRESCRIPTION DRUGS:  COST,issue_rxdrugs_cost,,,
PRESCRIPTION DRUGS:  PRO-INDUSTRY,issue_rxdrugs_proindustry,,,
PRO-CLINTON,issue_proclinton,HCLINTON=1,,rename issue_proclinton HCLINTON=1
PRO-CRUZ,issue_procruz,,,
PRO-OBAMA MESSAGE,issue_proobamamessage,BOBAMA=1,,rename issue_proobamamessage BOBAMA=1
PRO-PENCE,issue_propence,,,
PRO-SANDERS,issue_prosanders,,,
PRO-TRUMP,issue_protrump,PRESMENT=1,,rename issue_protrump PRESMENT=1
PRO-WARREN,issue_prowarren,,,
PUBLIC RELATIONS,issue_pr,,,
PUBLIC SAFETY,issue_publicsafety,,,
RETIREMENT,issue_retirement,,,
SOCIAL ISSUES,issue_socialissues,,,
SOCIAL ISSUES:  ABORTION,issue_social_abortion,ISSUE30,Abortion,rename issue_social_abortion ISSUE30
SOCIAL ISSUES:  BIRTH CONTROL,issue_social_birthcontrol,,,
SOCIAL ISSUES:  CIVIL RIGHTS,issue_social_civilrights,ISSUE39,Civil rights/racial discrimination,rename issue_social_civilrights ISSUE39
SOCIAL ISSUES:  DRUGS,issue_social_drugs,,,
SOCIAL ISSUES:  GAY MARRIAGE,issue_social_gaymarriage,,,
SOCIAL ISSUES:  GAY RIGHTS,issue_social_gayrights,ISSUE31,LGBTQ issues/rights,rename issue_social_gayrights ISSUE31
SOCIAL ISSUES:  WOMEN'S RIGHTS,issue_social_womensrights,ISSUE101,Gender discrimination,rename issue_social_womensrights ISSUE101
SOCIAL SECURITY,issue_socialsecurity,ISSUE56,Social security,rename issue_socialsecurity ISSUE56
SPANISH,issue_spanish,,,
SUPREME COURT,issue_supremecourt,ISSUE43,Supreme court/judiciary,rename issue_supremecourt ISSUE43
SYRIA,issue_syria,ISSUE74,Syria,rename issue_syria ISSUE74
TAXES,issue_taxes,ISSUE10,Taxes,rename issue_taxes ISSUE10
TAXES:  REFORM,issue_taxes_reform,ISSUE24,Tax reform bill/tax overhaul/tax legislation (from 2017),rename issue_taxes_reform ISSUE24
TECHNOLOGY,issue_tech,,,
TELECOMMUNICATIONS,issue_telecom,,,
TERRORISM,issue_terrorism,ISSUE69,Terror/terrorism/terrorist,rename issue_terrorism ISSUE69
TOBACCO,issue_tobacco,,,
TORT REFORM,issue_tortreform,,,
TRADE,issue_trade,ISSUE20,Trade/globalization ,rename issue_trade ISSUE20
TRADE:  CHINA,issue_tradechina,ISSUE65,China,rename issue_tradechina ISSUE65
TRADE:  MEXICO,issue_trademexico,,,
TRANSPORTATION,issue_transpo,ISSUE104,Transportation/infrasturucture,rename issue_transpo ISSUE104
UNION,issue_union,,,
VETERANS AFFAIRS,issue_vets,ISSUE62,Veterans,rename issue_vets ISSUE62
SOCIAL MEDIA:  FACEBOOK,issue_facebook,,,
SOCIAL MEDIA:  TWITTER,issue_twitter,,,
SOCIAL MEDIA:  YOUTUBE,issue_youtube,,,
TERM LIMITS,issue_termlimits,ISSUE93,Term limits,rename issue_termlimits ISSUE93
SOCIAL ISSUES:  OPIOIDS/OPIATES,issue_opioids,ISSUE106,Opioids/RX drug abuse,rename issue_opioids ISSUE106
PRO-RUBIO,issue_prorubio,,,
ANTI-BIDEN,issue_antibiden,BIDEN=2,,rename issue_antibiden BIDEN=2
ANTI-WARREN,issue_antiwarren,,,
EDUCATION:  HIGHER EDUCATION,issue_highered,,,
HEALTHCARE:  HEALTH INSURANCE REFORM,issue_healthinsreform,,,
HEALTHCARE:  MEDICAID,issue_medicaid,ISSUE110,Medicaid,rename issue_medicaid ISSUE110
IMPEACHMENT,issue_impeach,ISSUE111,Impeachment,rename issue_impeach ISSUE111
PRO-BIDEN,issue_probiden,BIDEN=1,,rename issue_probiden BIDEN=1
TELECOMMUNICATIONS:  BROADBAND,issue_broadband,,,
TELECOMMUNICATIONS:  RURAL BROADBAND,issue_rbroadband,,,
FUNDRAISING/ORGANIZING,issue_fundsorg,,,
INFRASTRUCTURE,issue_infras,ISSUE104,Transportation/infrasturucture,rename issue_infras ISSUE104
"TLAIB, RASHIDA",issue_tlaib,,,
INTERNATIONAL AFFAIRS:  IRAN,issue_iran,ISSUE72,Iran,rename issue_iran ISSUE72
AARP: 50+ VOTERS,issue_aarp50plus,,,
ANTI-BUTTIGIEG,issue_antibuttigieg,,,
PRO-BUTTIGIEG,issue_probuttigieg,,,
PRO-YANG,issue_proyang,,,
PRO-KLOBUCHAR,issue_proklobuchar,,,
ANTI-BLOOMBERG,issue_antibloomberg,,,
PRO-BLOOMBERG,issue_probloomberg,,,
ANTI-KLOBUCHAR,issue_antiklobuchar,,,
ENERGY/ENVIRONMENT:  PLASTICS,issue_plastics,,,
CORONAVIRUS,issue_coronavirus,ISSUE208,Outbreaks of infectious disease incl. COVID,rename issue_coronavirus ISSUE208
INTERNATIONAL AFFAIRS: CHINA,issue_china,ISSUE65,China,rename issue_china ISSUE65
NURSING HOMES,issue_nursinghomes,,,
ANTI-PELOSI,issue_antipelosi,DEMHSE,,rename issue_antipelosi DEMHSE
